Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,2021 JCI,% of OA Gold,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Quartile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,JIF Quartile,AIS Quartile,Citable Items,% of Articles in Citable items,Cited Half-Life,Citing Half-Life,Total Articles
Heliyon,HELIYON,NA,2405-8440,MULTIDISCIPLINARY SCIENCES - SCIE,22960,3.776,0.72,96.46%,28/74,3.752,Q2,3.665,0.719,38/135,Q2,72.22,0.029,6.243,0.55,62.84,Q2,Q2,2722,90.89%,2,7.9,NA
MICROCHEMICAL JOURNAL,MICROCHEM J,0026-265X,1095-9149,"CHEMISTRY, ANALYTICAL - SCIE",22178,5.304,1.15,3.22%,17/87,4.723,Q1,4.773,1.447,13/99,Q1,87.37,0.018,3.882,0.584,81.03,Q1,Q2,1350,95.04%,2.6,5.5,NA
IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,IEEE J SEL AREA COMM,0733-8716,1558-0008,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE",22164,13.081,3.11,10%,8/276,10.87,Q1,12.63,3.601,6/344,Q1,98.4,0.033,7.135,3.185,97.28,Q1,Q1,253,100%,5,3.9,253
JOURNAL OF COMPUTATIONAL AND APPLIED MATHEMATICS,J COMPUT APPL MATH,0377-0427,1879-1778,"MATHEMATICS, APPLIED - SCIE",21758,2.872,1.54,2.63%,37/267,2.52,Q1,2.668,0.942,30/317,Q1,90.69,0.017,3.605,0.659,86.33,Q1,Q3,695,100%,9.9,11.5,695
Foods,FOODS,NA,2304-8158,FOOD SCIENCE & TECHNOLOGY - SCIE,20947,5.561,1.08,96.13%,35/144,5.94,Q1,4.682,1.042,37/165,Q1,77.88,0.018,3.81,0.647,76.04,Q1,Q2,3057,87.08%,1.8,7,NA
ACS Photonics,ACS PHOTONICS,2330-4022,NA,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE",20030,7.077,1.47,13.47%,85/345,7.473,Q1,6.748,1.788,49/414,Q1,88.29,0.04,8.512,1.898,75.51,Q1,Q1,439,99.32%,3.6,5.9,436
INTERNATIONAL JOURNAL OF THERMAL SCIENCES,INT J THERM SCI,1290-0729,1778-4166,"ENGINEERING, MECHANICAL - SCIE",19379,4.779,1.13,2.02%,21/137,4.571,Q1,4.08,1.449,25/177,Q1,86.16,0.015,3.142,0.809,85.04,Q1,Q1,712,100%,5.9,7.8,712
IEEE Transactions on Robotics,IEEE T ROBOT,1552-3098,1941-0468,ROBOTICS - SCIE,19310,6.835,1.89,12.85%,7/30,9.728,Q1,6.346,1.221,4/41,Q1,91.46,0.014,2.926,2.452,78.33,Q1,Q1,267,99.63%,9.7,7.3,266
INTERNATIONAL JOURNAL OF ENERGY RESEARCH,INT J ENERG RES,0363-907X,1099-114X,ENERGY & FUELS - SCIE,18616,4.672,1.28,1.96%,62/119,4.533,Q3,3.895,1.063,26/145,Q1,82.41,0.016,3.36,0.608,48.32,Q3,Q3,1227,88.83%,2.6,4.8,NA
JOURNAL OF BUSINESS VENTURING,J BUS VENTURING,0883-9026,1873-2003,BUSINESS - SSCI,18553,13.139,2.44,17.74%,6/154,16.066,Q1,11.991,2.923,7/296,Q1,97.8,0.009,1.891,4.083,96.43,Q1,Q1,78,93.59%,11.7,11.2,73
ENTREPRENEURSHIP THEORY AND PRACTICE,ENTREP THEORY PRACT,1042-2587,1540-6520,BUSINESS - SSCI,17798,9.993,1.92,18.05%,24/154,14.105,Q1,9.014,2.284,22/296,Q1,92.74,0.009,1.854,3.523,84.74,Q1,Q1,67,91.04%,10.8,9.6,61
INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,INT J INFORM MANAGE,0268-4012,1873-4707,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI,17621,18.958,5.51,9.19%,1/84,16.58,Q1,16.913,7.545,1/164,Q1,99.7,0.016,3.451,2.403,99.4,Q1,Q1,165,90.91%,3.2,6.7,150
Entropy,ENTROPY-SWITZ,NA,1099-4300,"PHYSICS, MULTIDISCIPLINARY - SCIE",17367,2.738,0.63,96.33%,42/86,2.642,Q2,2.305,0.78,43/110,Q2,61.36,0.022,4.759,0.498,51.74,Q2,Q3,1653,97.22%,3.1,8.1,NA
ELECTRONICS LETTERS,ELECTRON LETT,0013-5194,1350-911X,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE",17366,1.202,0.36,21.21%,233/276,1.177,Q4,1.18,0.159,249/344,Q3,27.76,0.01,2.097,0.278,15.76,Q4,Q3,372,100%,12.3,5.3,372
SIGNAL PROCESSING,SIGNAL PROCESS,0165-1684,1872-7557,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE",17289,4.729,1.29,2.11%,71/276,4.662,Q1,4.157,1.103,58/344,Q1,83.28,0.017,3.693,0.998,74.46,Q2,Q1,487,98.15%,5.7,7.4,478
Journal of Retailing and Consumer Services,J RETAIL CONSUM SERV,0969-6989,1873-1384,BUSINESS - SSCI,17048,10.972,2.13,6.01%,16/154,10.737,Q1,8.541,2.904,16/296,Q1,94.76,0.013,2.848,1.341,89.94,Q1,Q2,509,99.61%,3.6,8.3,507
IEEE COMMUNICATIONS LETTERS,IEEE COMMUN LETT,1089-7798,1558-2558,TELECOMMUNICATIONS - SCIE,16773,3.553,0.97,1.98%,39/93,3.316,Q2,3.247,0.777,41/115,Q2,64.78,0.025,5.43,0.842,58.6,Q2,Q2,820,100%,4.5,4.6,820
Agronomy-Basel,AGRONOMY-BASEL,NA,2073-4395,AGRONOMY - SCIE,16684,3.949,1.05,96.44%,18/90,4.117,Q1,3.314,0.882,18/124,Q1,85.89,0.016,3.379,0.503,80.56,Q1,Q2,2514,92.08%,1.9,8.7,NA
Forests,FORESTS,NA,1999-4907,FORESTRY - SCIE,16362,3.282,1.11,96.73%,14/69,3.292,Q1,2.668,0.655,12/90,Q1,87.22,0.019,4.18,0.507,80.43,Q1,Q2,1761,95.23%,2.7,8.9,NA
Frontiers in Public Health,FRONT PUBLIC HEALTH,NA,2296-2565,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE",16304,6.461,1.3,99.17%,37/210,6.002,Q1,6.122,0.774,49/392,Q1,87.63,0.028,6.115,1.371,82.62,Q1,Q2,2113,89.82%,2.2,4.9,NA
Symmetry-Basel,SYMMETRY-BASEL,NA,2073-8994,MULTIDISCIPLINARY SCIENCES - SCIE,16177,2.94,0.85,95.9%,34/74,2.834,Q2,2.659,0.799,29/135,Q1,78.89,0.02,4.298,0.435,54.73,Q2,Q3,2380,95.08%,2,8.3,NA
Marine Policy,MAR POLICY,0308-597X,1872-9460,ENVIRONMENTAL STUDIES - SSCI,15982,4.315,1.6,21.35%,43/128,4.735,Q2,3.563,1.142,22/171,Q1,87.43,0.016,3.534,0.95,66.8,Q2,Q2,572,99.3%,5.1,6.8,568
ELECTRIC POWER SYSTEMS RESEARCH,ELECTR POW SYST RES,0378-7796,1873-2046,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE",15918,3.818,0.98,4.38%,97/276,3.789,Q2,3.233,1.012,96/344,Q2,72.24,0.014,2.956,0.657,65.04,Q2,Q2,753,98.27%,5,6.2,740
IEEE TRANSACTIONS ON AEROSPACE AND ELECTRONIC SYSTEMS,IEEE T AERO ELEC SYS,0018-9251,1557-9603,"ENGINEERING, AEROSPACE - SCIE",15696,3.491,1.22,4.67%,5/34,3.839,Q1,2.986,1.083,7/50,Q1,87,0.012,2.473,0.905,86.76,Q1,Q1,325,99.69%,9.5,8,324
Journal of Building Engineering,J BUILD ENG,NA,2352-7102,CONSTRUCTION & BUILDING TECHNOLOGY - SCIE,15385,7.144,1.44,4.45%,9/68,6.991,Q1,5.864,1.812,9/89,Q1,90.45,0.014,2.971,0.897,87.5,Q1,Q1,1953,95.65%,1.8,6.8,NA
IEEE Transactions on Sustainable Energy,IEEE T SUSTAIN ENERG,1949-3029,1949-3037,ENERGY & FUELS - SCIE,15102,8.31,1.78,5.11%,27/119,9.239,Q1,7.669,2.65,11/145,Q1,92.76,0.023,4.932,2.41,77.73,Q1,Q1,220,100%,4.6,4.9,220
Energy Research & Social Science,ENERGY RES SOC SCI,2214-6296,2214-6326,ENVIRONMENTAL STUDIES - SSCI,15036,8.514,1.75,26.85%,11/128,8.756,Q1,6.216,1.683,14/171,Q1,92.11,0.022,4.641,1.602,91.8,Q1,Q1,542,90.77%,3.2,5.7,492
CITIES,CITIES,0264-2751,1873-6084,URBAN STUDIES - SSCI,14323,6.077,2.05,12.28%,2/43,6.788,Q1,5.582,1.825,2/76,Q1,98.03,0.015,3.29,1.255,96.51,Q1,Q2,388,97.42%,4.2,7.7,378
EUROPEAN JOURNAL OF HUMAN GENETICS,EUR J HUM GENET,1018-4813,1476-5438,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,13788,5.351,0.99,38.39%,98/297,4.833,Q2,5.113,1.41,75/322,Q1,76.86,0.017,3.674,1.621,67.17,Q2,Q1,178,95.51%,7.2,6.4,170
JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT,J CONSTR ENG M,0733-9364,1943-7862,CONSTRUCTION & BUILDING TECHNOLOGY - SCIE,13359,5.292,0.95,2.02%,17/68,5.275,Q1,4.633,0.88,17/89,Q1,81.46,0.006,1.239,0.698,75.74,Q1,Q2,249,95.58%,9,7.9,238
Environment and Planning A-Economy and Space,ENVIRON PLANN A,0308-518X,1472-3409,ENVIRONMENTAL STUDIES - SSCI,12896,3.79,1.2,25.95%,59/128,4.422,Q2,3.389,1.324,50/171,Q1,71.05,0.009,1.968,1.531,54.3,Q2,Q1,136,100%,11.5,7.4,136
Frontiers in Medicine,FRONT MED-LAUSANNE,NA,2296-858X,"MEDICINE, GENERAL & INTERNAL - SCIE",12813,5.058,0.97,99.03%,53/172,5.493,Q1,4.84,0.703,53/329,Q1,84.04,0.022,4.749,1.234,69.48,Q2,Q2,2676,75.15%,2,5.8,NA
IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS II-EXPRESS BRIEFS,IEEE T CIRCUITS-II,1549-7747,1558-3791,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE",12611,3.691,1.06,1.3%,100/276,3.437,Q2,3.11,1.43,81/344,Q1,76.6,0.015,3.157,0.749,63.95,Q2,Q2,710,99.72%,3.8,5.3,708
AGRICULTURAL SYSTEMS,AGR SYST,0308-521X,1873-2267,"AGRICULTURE, MULTIDISCIPLINARY - SCIE",12552,6.765,2.35,29.71%,3/59,7.131,Q1,6.191,2.038,1/84,Q1,99.4,0.01,2.059,1.235,95.76,Q1,Q1,265,95.47%,5.9,6.9,253
IET Generation Transmission & Distribution,IET GENER TRANSM DIS,1751-8687,1751-8695,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE",12548,2.503,0.71,19.97%,153/276,3.198,Q2,2.338,0.466,135/344,Q2,60.9,0.018,3.838,0.662,44.75,Q3,Q2,266,97.74%,4.4,5.1,260
Mathematics,MATHEMATICS-BASEL,NA,2227-7390,MATHEMATICS - SCIE,12448,2.592,2.15,96.11%,21/333,2.542,Q1,2.206,0.65,13/475,Q1,97.37,0.015,3.306,0.409,93.84,Q1,Q3,3288,98.21%,1.7,8.1,NA
International Journal of Environmental Science and Technology,INT J ENVIRON SCI TE,1735-1472,1735-2630,ENVIRONMENTAL SCIENCES - SCIE,12412,3.519,0.54,5.46%,150/279,3.463,Q3,3.271,0.659,187/325,Q3,42.62,0.008,1.703,0.399,46.42,Q3,Q4,768,90.63%,4.2,7,696
Processes,PROCESSES,NA,2227-9717,"ENGINEERING, CHEMICAL - SCIE",12177,3.352,0.48,95.76%,69/143,3.338,Q2,2.909,0.911,76/160,Q2,52.81,0.011,2.461,0.405,52.1,Q2,Q3,2198,89.35%,1.8,6.7,NA
OCEAN & COASTAL MANAGEMENT,OCEAN COAST MANAGE,0964-5691,1873-524X,OCEANOGRAPHY - SCIE,12074,4.295,1.14,10.51%,8/66,4.101,Q1,3.71,1.669,13/68,Q1,81.62,0.009,1.981,0.711,88.64,Q1,Q2,438,97.26%,5.6,7.7,426
ARABIAN JOURNAL FOR SCIENCE AND ENGINEERING,ARAB J SCI ENG,2193-567X,2191-4281,MULTIDISCIPLINARY SCIENCES - SCIE,11881,2.807,0.56,1.24%,36/74,2.621,Q3,2.697,0.524,46/135,Q2,66.3,0.011,2.325,0.35,52.03,Q2,Q3,1219,98.11%,3.2,6.4,NA
GEOFORUM,GEOFORUM,0016-7185,1872-9398,GEOGRAPHY - SSCI,11808,3.926,1.41,16.86%,20/86,4.411,Q2,3.626,0.982,17/167,Q1,90.12,0.015,3.192,1.393,77.33,Q1,Q1,281,93.95%,6.8,7.9,264
INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT,INT J LIFE CYCLE ASS,0948-3349,1614-7502,"ENGINEERING, ENVIRONMENTAL - SCIE",11626,5.257,0.68,32.68%,23/54,6.803,Q2,4.592,1.255,28/71,Q2,61.27,0.007,1.576,1.013,58.33,Q2,Q2,137,93.43%,6.6,5.9,128
Alexandria Engineering Journal,ALEX ENG J,1110-0168,2090-2670,"ENGINEERING, MULTIDISCIPLINARY - SCIE",11565,6.626,1.94,97.52%,7/92,5.615,Q1,6.05,2.374,8/175,Q1,95.71,0.009,2.027,0.72,92.93,Q1,Q2,795,98.99%,3,5.3,787
Advanced Materials Technologies,ADV MATER TECHNOL-US,2365-709X,2365-709X,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE",11322,8.856,1.15,10.24%,62/345,8.67,Q1,8.448,1.132,77/414,Q1,81.52,0.018,3.974,1.586,82.17,Q1,Q1,544,84.01%,2.5,4.8,457
NEW MEDIA & SOCIETY,NEW MEDIA SOC,1461-4448,1461-7315,COMMUNICATION - SSCI,11263,5.31,2.67,25.53%,12/95,7.244,Q1,4.886,0.634,9/218,Q1,96.1,0.024,5.137,2.722,87.89,Q1,Q1,246,94.31%,4.8,6.2,232
Resources Policy,RESOUR POLICY,0301-4207,1873-7641,ENVIRONMENTAL STUDIES - SSCI,11237,8.222,1.63,6.45%,13/128,7.658,Q1,6.164,2.107,21/171,Q1,88.01,0.009,1.861,0.976,90.23,Q1,Q2,587,98.64%,2.9,6.2,579
International Journal of Disaster Risk Reduction,INT J DISAST RISK RE,2212-4209,2212-4209,"GEOSCIENCES, MULTIDISCIPLINARY - SCIE",10542,4.842,1.11,18.67%,38/202,5.213,Q1,3.91,0.99,47/245,Q1,81.02,0.012,2.634,0.83,81.44,Q1,Q2,687,93.45%,3.2,7.4,642
PSYCHOLOGY & MARKETING,PSYCHOL MARKET,0742-6046,1520-6793,BUSINESS - SSCI,10200,5.507,1.09,12.93%,68/154,5.894,Q2,4.066,1.845,76/296,Q2,74.49,0.004,0.952,0.987,56.17,Q2,Q2,181,95.03%,9.9,9.6,172
WIRELESS PERSONAL COMMUNICATIONS,WIRELESS PERS COMMUN,0929-6212,1572-834X,TELECOMMUNICATIONS - SCIE,10096,2.017,0.42,1.51%,64/93,1.563,Q4,1.604,0.483,85/115,Q3,26.52,0.008,1.826,0.189,31.72,Q3,Q4,1363,97.87%,3.4,5.3,NA
Current Issues in Tourism,CURR ISSUES TOUR,1368-3500,1747-7603,"HOSPITALITY, LEISURE, SPORT & TOURISM - SSCI",10071,7.578,1.76,6.05%,15/58,7.431,Q2,6.793,1.88,13/132,Q1,90.53,0.01,2.093,1.158,75,Q2,Q2,258,96.12%,3.3,6.6,248
IEEE Journal of Emerging and Selected Topics in Power Electronics,IEEE J EM SEL TOP P,2168-6777,2168-6785,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE",9515,5.462,1.64,2.81%,52/276,6.287,Q1,4.779,1.616,36/344,Q1,89.68,0.017,3.761,1.749,81.34,Q1,Q1,601,97.84%,3.5,6,588
QUALITATIVE INQUIRY,QUAL INQ,1077-8004,1552-7565,"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI",9123,1.789,1.09,10.64%,66/112,3.796,Q1,1.694,0.637,73/264,Q2,72.54,0.008,1.794,1.359,41.52,Q3,Q1,91,100%,10.7,9.5,91
International Business Review,INT BUS REV,0969-5931,1873-6149,BUSINESS - SSCI,8484,8.047,1.46,7.43%,35/154,8.063,Q2,7.439,1.776,44/296,Q1,85.3,0.006,1.344,1.393,77.6,Q1,Q2,98,94.9%,6.5,10.9,93
BUSINESS HORIZONS,BUS HORIZONS,0007-6813,1873-6068,BUSINESS - SSCI,8458,10.562,1.86,5.66%,20/154,9.038,Q1,10.19,1.493,27/296,Q1,91.05,0.006,1.314,1.727,87.34,Q1,Q1,75,100%,7.2,6.1,75
British Food Journal,BRIT FOOD J,0007-070X,1758-4108,AGRICULTURAL ECONOMICS & POLICY - SCIE,8451,3.224,0.95,6.53%,11/22,3.475,Q2,2.553,0.452,14/35,Q2,61.43,0.004,0.941,0.394,52.27,Q2,Q3,372,95.97%,6,6.8,357
Energy Reports,ENERGY REP,2352-4847,2352-4847,ENERGY & FUELS - SCIE,8369,4.937,0.68,99.48%,58/119,5.258,Q2,4.27,0.963,70/145,Q2,52.07,0.008,1.688,0.654,51.68,Q2,Q3,1363,96.48%,1.7,4.5,NA
ENVIRONMENT DEVELOPMENT AND SUSTAINABILITY,ENVIRON DEV SUSTAIN,1387-585X,1573-2975,ENVIRONMENTAL SCIENCES - SCIE,8153,4.08,0.64,6.44%,122/279,3.972,Q2,3.614,1.061,158/325,Q2,51.54,0.007,1.472,0.52,56.45,Q2,Q3,872,93.46%,1.9,7,815
INDIAN JOURNAL OF OPHTHALMOLOGY,INDIAN J OPHTHALMOL,0301-4738,1998-3689,OPHTHALMOLOGY - SCIE,8136,2.969,0.85,98.9%,32/62,2.664,Q3,2.172,1.633,37/94,Q2,61.17,0.007,1.599,0.507,49.19,Q3,Q4,548,90.88%,4,7.8,498
IEEE Journal of Selected Topics in Signal Processing,IEEE J-STSP,1932-4553,1941-0484,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE",8019,7.695,2.04,12.05%,31/276,7.992,Q1,7.606,1.067,23/344,Q1,93.46,0.013,2.798,2.578,88.95,Q1,Q1,104,100%,5.6,5.2,104
BMC Medical Informatics and Decision Making,BMC MED INFORM DECIS,NA,1472-6947,MEDICAL INFORMATICS - SCIE,7894,3.298,0.71,99.49%,17/31,3.894,Q2,3.144,0.51,21/38,Q3,46.05,0.01,2.051,0.938,46.77,Q3,Q2,365,94.79%,5.4,6.3,346
Frontiers in Ecology and Evolution,FRONT ECOL EVOL,2296-701X,2296-701X,ECOLOGY - SCIE,7759,4.496,0.81,98.98%,45/173,4.651,Q1,4.316,0.636,71/189,Q2,62.7,0.017,3.56,1.275,74.28,Q2,Q1,920,86.96%,2.8,9.8,800
Environmental Technology & Innovation,ENVIRON TECHNOL INNO,2352-1864,2352-1864,BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE,7704,7.758,1.1,10.05%,18/159,7.375,Q1,6.918,1.857,27/168,Q1,84.23,0.006,1.205,0.764,88.99,Q1,Q2,924,95.35%,1.6,5.7,881
Information Communication & Society,INFORM COMMUN SOC,1369-118X,1468-4462,COMMUNICATION - SSCI,7441,5.054,2.37,20.46%,13/95,6.608,Q1,4.787,1.34,13/218,Q1,94.27,0.014,3.054,2.407,86.84,Q1,Q1,203,98.52%,4.9,6.3,200
IET Renewable Power Generation,IET RENEW POWER GEN,1752-1416,1752-1424,ENERGY & FUELS - SCIE,7316,3.034,0.63,26%,86/119,3.809,Q3,2.694,0.732,75/145,Q2,48.62,0.009,1.957,0.696,28.15,Q3,Q3,365,95.89%,4,5.1,350
Sustainable Energy Technologies and Assessments,SUSTAIN ENERGY TECHN,2213-1388,2213-1396,ENERGY & FUELS - SCIE,7246,7.632,1.07,3.31%,32/119,7.201,Q2,6.184,2.079,42/145,Q2,71.38,0.006,1.273,0.931,73.53,Q2,Q2,762,92.78%,1.9,5,707
KSCE Journal of Civil Engineering,KSCE J CIV ENG,1226-7988,1976-3808,"ENGINEERING, CIVIL - SCIE",7195,2.115,0.49,0%,91/138,2.322,Q3,1.879,0.368,99/175,Q3,43.71,0.007,1.476,0.362,34.42,Q3,Q3,468,99.57%,4.5,8,466
BRITISH JOURNAL OF EDUCATIONAL TECHNOLOGY,BRIT J EDUC TECHNOL,0007-1013,1467-8535,EDUCATION & EDUCATIONAL RESEARCH - SSCI,7159,5.268,2.77,13.33%,23/270,5.321,Q1,4.958,1.15,14/743,Q1,98.18,0.007,1.583,1.186,91.67,Q1,Q1,100,93%,6,6.3,93
Frontiers in Earth Science,FRONT EARTH SC-SWITZ,NA,2296-6463,"GEOSCIENCES, MULTIDISCIPLINARY - SCIE",6491,3.661,0.79,98.92%,76/202,3.908,Q2,3.385,0.545,96/245,Q2,61.02,0.015,3.129,1.141,62.62,Q2,Q1,1313,96.34%,2.5,9.8,NA
JOURNAL OF PUBLIC HEALTH,J PUBLIC HEALTH-UK,1741-3842,1741-3850,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE",6362,5.058,0.94,17.29%,62/210,3.776,Q2,4.675,3.419,105/392,Q2,73.34,0.008,1.718,1.077,70.71,Q2,Q2,298,93.62%,4.2,6.3,279
SAGE Open,SAGE OPEN,2158-2440,2158-2440,"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI",6347,2.032,0.89,96.55%,53/112,2.1,Q3,1.857,0.275,90/264,Q2,66.1,0.009,1.868,0.491,53.13,Q2,Q3,901,97.11%,4.9,9.4,875
INTERNATIONAL JOURNAL OF THEORETICAL PHYSICS,INT J THEOR PHYS,0020-7748,1572-9575,"PHYSICS, MULTIDISCIPLINARY - SCIE",6317,1.308,0.36,1.94%,65/86,1.076,Q3,1.018,0.294,61/110,Q3,45,0.003,0.665,0.169,25,Q4,Q4,320,99.06%,9.3,10.5,317
GOVERNMENT INFORMATION QUARTERLY,GOV INFORM Q,0740-624X,1872-9517,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI,6283,8.49,2.39,22.33%,8/84,9.045,Q1,7.669,1.918,6/164,Q1,96.65,0.006,1.183,1.721,91.07,Q1,Q1,61,96.72%,6,7.3,59
Clean Technologies and Environmental Policy,CLEAN TECHNOL ENVIR,1618-954X,1618-9558,"ENGINEERING, ENVIRONMENTAL - SCIE",6258,4.7,0.55,7.73%,26/54,3.984,Q3,4.213,0.885,35/71,Q2,51.41,0.004,0.907,0.484,52.78,Q2,Q3,235,93.19%,4.9,5.3,219
Frontiers in Environmental Science,FRONT ENV SCI-SWITZ,NA,2296-665X,ENVIRONMENTAL SCIENCES - SCIE,6196,5.411,0.71,99.34%,82/279,6.314,Q2,5.259,0.683,134/325,Q2,58.92,0.008,1.76,1.165,70.79,Q2,Q2,624,89.58%,3.3,6.6,559
Agriculture-Basel,AGRICULTURE-BASEL,NA,2077-0472,AGRONOMY - SCIE,6136,3.408,0.99,96.09%,20/90,3.459,Q1,3.006,0.841,20/124,Q1,84.27,0.005,1.101,0.434,78.33,Q1,Q2,1265,92.96%,2,7.7,NA
JOURNAL OF AIR TRANSPORT MANAGEMENT,J AIR TRANSP MANAG,0969-6997,1873-2089,TRANSPORTATION - SSCI,6036,5.428,1.25,4.53%,12/37,4.799,Q2,4.376,1.911,13/50,Q2,75,0.005,0.971,0.759,68.92,Q2,Q3,146,95.89%,5.5,7.5,140
ANTIPODE,ANTIPODE,0066-4812,1467-8330,GEOGRAPHY - SSCI,6033,4.246,1.66,25.84%,16/86,4.743,Q1,3.882,1.326,11/167,Q1,93.71,0.009,1.844,2.132,81.98,Q1,Q1,95,100%,8.6,7.4,95
JOURNAL OF CULTURAL HERITAGE,J CULT HERIT,1296-2074,1778-3674,ARCHAEOLOGY - AHCI,5804,3.229,2.29,8.67%,NA,3.279,NA,3.015,0.896,2/156,Q1,99.04,0.005,1.075,0.627,NA,NA,Q2,154,90.26%,6,10.3,139
Quantum Information Processing,QUANTUM INF PROCESS,1570-0755,1573-1332,"PHYSICS, MATHEMATICAL - SCIE",5624,1.965,0.66,5.26%,18/56,1.96,Q2,1.539,0.474,24/60,Q2,60.83,0.007,1.419,0.395,68.75,Q2,Q3,386,99.74%,4.5,8.9,385
JOURNAL OF MANAGEMENT IN ENGINEERING,J MANAGE ENG,0742-597X,1943-5479,"ENGINEERING, CIVIL - SCIE",5619,6.415,1.3,2.63%,12/138,6.537,Q1,4.33,1.345,19/175,Q1,89.43,0.003,0.698,0.748,91.67,Q1,Q1,116,98.28%,5.4,7.3,114
THIRD WORLD QUARTERLY,THIRD WORLD Q,0143-6597,1360-2241,DEVELOPMENT STUDIES - SSCI,5570,2.255,0.71,23.67%,25/42,3.007,Q2,1.993,0.452,25/60,Q2,59.17,0.008,1.792,1.278,41.67,Q3,Q1,166,100%,8,7.6,166
SUSTAINABLE DEVELOPMENT,SUSTAIN DEV,0968-0802,1099-1719,DEVELOPMENT STUDIES - SSCI,5542,8.562,1.71,15.24%,1/42,7.403,Q1,7.596,2.009,5/60,Q1,92.5,0.004,0.819,0.951,98.81,Q1,Q2,109,88.07%,3.7,6,96
Ain Shams Engineering Journal,AIN SHAMS ENG J,2090-4479,2090-4495,"ENGINEERING, MULTIDISCIPLINARY - SCIE",5269,4.79,1.23,99.66%,19/92,4.328,Q1,4.416,2.477,24/175,Q1,86.57,0.003,0.752,0.543,79.89,Q1,Q2,377,95.76%,3.5,6.7,361
TRANSACTIONS OF THE INSTITUTE OF BRITISH GEOGRAPHERS,T I BRIT GEOGR,0020-2754,1475-5661,GEOGRAPHY - SSCI,5209,3.445,1.44,36.51%,32/86,4.738,Q1,3.142,0.779,16/167,Q1,90.72,0.005,1.16,1.908,63.37,Q2,Q1,86,100%,10.8,7.9,86
Sustainable Production and Consumption,SUSTAIN PROD CONSUMP,2352-5509,2352-5509,ENVIRONMENTAL STUDIES - SSCI,5142,8.921,1.4,11.33%,10/128,8.424,Q1,7.426,4.834,33/171,Q1,80.99,0.003,0.641,0.978,92.58,Q1,Q2,463,92.44%,1.4,4.9,428
TECHNOLOGY IN SOCIETY,TECHNOL SOC,0160-791X,1879-3274,SOCIAL ISSUES - SSCI,5111,6.879,2.99,13.63%,3/44,6.231,Q1,5.244,2.049,3/63,Q1,96.03,0.004,0.801,0.819,94.32,Q1,Q2,346,97.69%,2.6,6.5,338
Healthcare,HEALTHCARE-BASEL,NA,2227-9032,HEALTH CARE SCIENCES & SERVICES - SCIE,5075,3.16,0.89,95.96%,50/109,3.46,Q2,2.879,0.674,54/159,Q2,66.35,0.007,1.432,0.674,54.59,Q2,Q3,1711,88.08%,1.8,6.3,NA
POLITICAL GEOGRAPHY,POLIT GEOGR,0962-6298,1873-5096,GEOGRAPHY - SSCI,5049,3.62,1.55,19.15%,26/86,4.065,Q2,3,1.396,12/167,Q1,93.11,0.007,1.508,1.56,70.35,Q2,Q1,139,97.84%,7.8,8,136
Engineering Science and Technology-An International Journal-JESTECH,ENG SCI TECHNOL,2215-0986,2215-0986,"ENGINEERING, MULTIDISCIPLINARY - SCIE",5006,5.155,1.61,99.74%,16/92,5.595,Q1,5.016,1.97,14/175,Q1,92.29,0.005,1.137,0.764,83.15,Q1,Q2,134,95.52%,4.3,6.9,128
JOURNAL OF BUSINESS & INDUSTRIAL MARKETING,J BUS IND MARK,0885-8624,2052-1189,BUSINESS - SSCI,4974,3.319,0.68,4.35%,111/154,3.879,Q3,2.287,0.507,137/296,Q2,53.89,0.003,0.662,0.48,28.25,Q3,Q4,219,94.06%,5.3,10.4,206
